Moscou; 2; Chambre; Bricolage, Babysitting; Pas d animaux, Non fumeur; Piscine, Blanchissage; Transfert possible; Pension complète; 29/7/2023; 30/7/2023; -99; 21; 2; 0
Seville; 3; Chambre; Promener les chiens; Pas d animaux, Non fumeur; Balade à cheval, Wifi, Blanchissage; Transfert possible; Pension complète; 19/2/2024; 30/2/2024; -99; 19; 1; 5402
Paris; 6; Chambre; Promener les chiens, Jardinage; Non fumeur, Pas d animaux; Parking, Balade à cheval, Wifi; Pas de transfert; Pension complète; 8/6/2023; 15/6/2023; -99; 86; 1; 5403
Strasbourg; 6; Tente; Babysitting, Jardinage; ; Parking; Pas de transfert; Pension complète; 3/1/2023; 20/1/2023; -99; 74; 2; 5404
Strasbourg; 6; Tente; Promener les chiens; Pas d animaux, Non fumeur; Blanchissage, Parking; Pas de transfert; Demi-pension; 3/2/2024; 31/2/2024; -99; 24; 3; 5405
Strasbourg; 2; Cabane dans un arbre; Bricolage; Pas d animaux, Non fumeur; Parking; Pas de transfert; Petit déjeuner; 14/11/2023; 15/11/2023; -99; 62; 2; 5406
Berlin; 4; Chambre; Bricolage; Non fumeur; Balade à cheval, Wifi; Transfert possible; Pension complète; 19/2/2023; 25/2/2023; -99; 79; 3; 5407
Seville; 3; Tente; Donner des cours d anglais, Jardinage; Non fumeur; Blanchissage, Balade à cheval; Pas de transfert; Petit déjeuner; 30/10/2023; 31/10/2023; -99; 79; 1; 5408
Toulouse; 5; Cabane dans un arbre; Babysitting, Bricolage; Non fumeur; Blanchissage; Transfert possible; Pension complète; 26/6/2022; 27/6/2022; -99; 62; 1; 5409
Toulouse; 6; Tente; Bricolage, Jardinage; Pas d animaux; Wifi, Parking, Balade à cheval; Transfert possible; Pension complète; 3/11/2023; 29/11/2023; -99; 19; 3; 5410
Seville; 6; Tente; Jardinage, Babysitting; Non fumeur; Piscine; Transfert possible; Petit déjeuner; 28/10/2024; 29/10/2024; -99; 82; 3; 5411
Moscou; 3; Cabane dans un arbre; Promener les chiens, Jardinage; Pas d animaux, Non fumeur; Balade à cheval; Transfert possible; Pension complète; 21/10/2024; 22/10/2024; -99; 25; 3; 5412
Strasbourg; 3; Tente; Babysitting; Pas d animaux, Non fumeur; Wifi; Pas de transfert; Demi-pension; 3/7/2024; 9/7/2024; -99; 21; 3; 5413
Moscou; 5; Cabane dans un arbre; Promener les chiens; Pas d animaux; Piscine, Balade à cheval, Wifi; Pas de transfert; Pension complète; 21/5/2023; 28/5/2023; -99; 94; 2; 5414
Strasbourg; 4; Tente; Jardinage, Donner des cours d anglais; Non fumeur, Pas d animaux; Blanchissage; Transfert possible; Demi-pension; 30/12/2024; 31/12/2024; -99; 72; 3; 5415
Strasbourg; 3; Cabane dans un arbre; Bricolage, Jardinage; Non fumeur, Pas d animaux; Wifi, Blanchissage, Parking; Pas de transfert; Petit déjeuner; 13/5/2023; 16/5/2023; -99; 56; 2; 5416
Avignon; 2; Tente; Donner des cours d anglais, Jardinage; Pas d animaux; Balade à cheval; Transfert possible; Petit déjeuner; 2/6/2023; 18/6/2023; -99; 99; 1; 5417
Marseille; 5; Cabane dans un arbre; Donner des cours d anglais; ; Wifi; Transfert possible; Pension complète; 18/9/2022; 22/9/2022; -99; 5; 3; 5418
Moscou; 3; Tente; Babysitting; ; Parking; Transfert possible; Pension complète; 14/8/2023; 15/8/2023; -99; 17; 2; 5419
Marseille; 4; Cabane dans un arbre; Bricolage, Donner des cours d anglais; ; Piscine, Blanchissage, Parking; Transfert possible; Demi-pension; 10/4/2022; 13/4/2022; -99; 19; 1; 5420
Paris; 3; Cabane dans un arbre; Promener les chiens; Non fumeur, Pas d animaux; Blanchissage; Pas de transfert; Demi-pension; 29/10/2023; 30/10/2023; -99; 43; 2; 5421
Toulouse; 5; Cabane dans un arbre; Bricolage, Jardinage; ; Balade à cheval; Transfert possible; Petit déjeuner; 3/9/2022; 29/9/2022; -99; 59; 2; 5422
Draguignan; 6; Chambre; Bricolage; Non fumeur; Parking, Wifi, Blanchissage; Pas de transfert; Pension complète; 11/8/2023; 30/8/2023; -99; 47; 1; 5423
Avignon; 4; Tente; Bricolage, Jardinage; Pas d animaux, Non fumeur; Balade à cheval, Blanchissage, Piscine; Pas de transfert; Pension complète; 30/6/2023; 31/7/2023; -99; 46; 3; 5424
Berlin; 2; Chambre; Bricolage; Non fumeur, Pas d animaux; Wifi; Pas de transfert; Demi-pension; 20/10/2024; 21/10/2024; -99; 5; 2; 5425
Marseille; 5; Chambre; Donner des cours d anglais; Non fumeur, Pas d animaux; Piscine; Transfert possible; Petit déjeuner; 12/12/2022; 13/12/2022; -99; 97; 3; 5426
Toulouse; 4; Tente; Bricolage; Pas d animaux, Non fumeur; Balade à cheval; Pas de transfert; Pension complète; 7/12/2023; 24/12/2023; -99; 80; 2; 5427
Paris; 4; Tente; Promener les chiens; Non fumeur; Piscine, Balade à cheval, Wifi; Transfert possible; Demi-pension; 26/1/2023; 27/1/2023; -99; 21; 3; 5428
Paris; 2; Tente; Bricolage; Pas d animaux; Parking; Transfert possible; Petit déjeuner; 8/11/2022; 10/11/2022; -99; 20; 2; 5429
Seville; 6; Chambre; Donner des cours d anglais; Non fumeur; Blanchissage; Transfert possible; Demi-pension; 22/11/2024; 23/11/2024; -99; 96; 2; 5430
Draguignan; 2; Cabane dans un arbre; Promener les chiens, Bricolage; Pas d animaux; Parking, Balade à cheval, Wifi; Pas de transfert; Demi-pension; 14/6/2023; 22/6/2023; -99; 81; 1; 5431
Avignon; 5; Cabane dans un arbre; Jardinage; Pas d animaux, Non fumeur; Wifi, Parking; Pas de transfert; Petit déjeuner; 17/8/2023; 27/8/2023; -99; 45; 1; 5432
Draguignan; 3; Cabane dans un arbre; Babysitting; Non fumeur, Pas d animaux; Balade à cheval, Blanchissage, Wifi; Transfert possible; Petit déjeuner; 18/8/2023; 19/8/2023; -99; 87; 2; 5433
Marseille; 4; Cabane dans un arbre; Donner des cours d anglais, Jardinage; ; Blanchissage, Wifi, Piscine; Transfert possible; Demi-pension; 17/11/2023; 20/11/2023; -99; 2; 3; 5434
Berlin; 3; Cabane dans un arbre; Promener les chiens, Bricolage; Pas d animaux; Piscine, Parking; Transfert possible; Pension complète; 3/12/2024; 27/12/2024; -99; 79; 1; 5435
Toulouse; 6; Chambre; Babysitting, Donner des cours d anglais; Pas d animaux; Wifi, Parking, Piscine; Transfert possible; Pension complète; 2/5/2022; 5/5/2022; -99; 29; 2; 5436
Strasbourg; 4; Tente; Babysitting, Bricolage; Non fumeur; Blanchissage, Parking, Wifi; Pas de transfert; Pension complète; 31/7/2023; 32/7/2023; -99; 39; 1; 5437
Toulouse; 2; Tente; Bricolage, Donner des cours d anglais; Pas d animaux; Piscine, Blanchissage; Pas de transfert; Demi-pension; 30/10/2022; 31/10/2022; -99; 83; 1; 5438
Berlin; 2; Tente; Donner des cours d anglais; Non fumeur, Pas d animaux; Blanchissage; Transfert possible; Petit déjeuner; 13/6/2024; 25/6/2024; -99; 46; 3; 5439
Marseille; 3; Tente; Bricolage; Non fumeur, Pas d animaux; Balade à cheval, Blanchissage; Transfert possible; Petit déjeuner; 12/6/2022; 28/6/2022; -99; 70; 1; 5440
Berlin; 2; Cabane dans un arbre; Donner des cours d anglais, Jardinage; ; Balade à cheval, Wifi, Parking; Transfert possible; Pension complète; 1/4/2022; 16/4/2022; -99; 1; 1; 5441
Toulouse; 2; Chambre; Bricolage; ; Piscine, Parking, Balade à cheval; Transfert possible; Petit déjeuner; 24/1/2023; 27/1/2023; -99; 5; 2; 5442
Chartres; 5; Chambre; Promener les chiens; ; Blanchissage; Transfert possible; Petit déjeuner; 19/8/2023; 23/8/2023; -99; 37; 3; 5443
Berlin; 2; Tente; Babysitting; Non fumeur; Blanchissage, Wifi; Transfert possible; Pension complète; 9/11/2022; 23/11/2022; -99; 31; 2; 5444
Strasbourg; 3; Cabane dans un arbre; Bricolage; ; Parking, Piscine; Pas de transfert; Pension complète; 23/3/2023; 24/3/2023; -99; 4; 1; 5445
Paris; 2; Cabane dans un arbre; Bricolage; Non fumeur; Blanchissage, Parking, Wifi; Pas de transfert; Pension complète; 10/5/2024; 15/5/2024; -99; 64; 3; 5446
Avignon; 5; Chambre; Jardinage; Pas d animaux, Non fumeur; Balade à cheval, Wifi, Blanchissage; Transfert possible; Pension complète; 17/11/2023; 18/11/2023; -99; 99; 3; 5447
Seville; 5; Chambre; Donner des cours d anglais, Promener les chiens; ; Blanchissage, Parking; Transfert possible; Petit déjeuner; 4/7/2022; 15/7/2022; -99; 10; 3; 5448
Seville; 2; Chambre; Babysitting, Donner des cours d anglais; Non fumeur; Balade à cheval, Piscine, Blanchissage; Pas de transfert; Demi-pension; 30/11/2022; 31/12/2022; -99; 16; 3; 5449
Avignon; 2; Tente; Donner des cours d anglais, Babysitting; Non fumeur; Wifi, Balade à cheval, Piscine; Transfert possible; Pension complète; 30/12/2024; 31/12/2024; -99; 91; 2; 5450
Avignon; 5; Cabane dans un arbre; Babysitting; Non fumeur; Wifi; Transfert possible; Pension complète; 12/9/2023; 13/9/2023; -99; 63; 1; 5451
Berlin; 6; Tente; Babysitting; Non fumeur; Blanchissage; Pas de transfert; Pension complète; 18/2/2023; 24/2/2023; -99; 88; 3; 5452
Marseille; 6; Tente; Bricolage; Non fumeur, Pas d animaux; Blanchissage, Piscine; Transfert possible; Petit déjeuner; 20/11/2022; 30/11/2022; -99; 39; 3; 5453
Draguignan; 5; Tente; Bricolage, Donner des cours d anglais; Non fumeur, Pas d animaux; Blanchissage; Transfert possible; Petit déjeuner; 19/11/2024; 20/11/2024; -99; 64; 2; 5454
Draguignan; 2; Cabane dans un arbre; Bricolage; Non fumeur; Parking, Balade à cheval, Wifi; Pas de transfert; Demi-pension; 7/3/2024; 8/3/2024; -99; 70; 2; 5455
Strasbourg; 3; Cabane dans un arbre; Promener les chiens; ; Piscine, Wifi; Pas de transfert; Demi-pension; 18/7/2022; 19/7/2022; -99; 91; 1; 5456
Moscou; 6; Chambre; Jardinage, Babysitting; Non fumeur; Wifi, Parking, Blanchissage; Pas de transfert; Petit déjeuner; 4/5/2022; 16/5/2022; -99; 19; 1; 5457
Draguignan; 3; Tente; Promener les chiens, Donner des cours d anglais; Non fumeur, Pas d animaux; Piscine; Transfert possible; Petit déjeuner; 14/7/2024; 15/7/2024; -99; 35; 2; 5458
Marseille; 4; Tente; Promener les chiens; Pas d animaux; Blanchissage, Parking; Pas de transfert; Demi-pension; 20/9/2024; 27/9/2024; -99; 13; 3; 5459
Draguignan; 2; Chambre; Jardinage, Bricolage; Non fumeur; Parking; Pas de transfert; Petit déjeuner; 21/6/2022; 22/6/2022; -99; 24; 2; 5460
Marseille; 4; Tente; Promener les chiens, Jardinage; Non fumeur; Piscine, Parking; Transfert possible; Pension complète; 6/11/2022; 17/11/2022; -99; 75; 2; 5461
Berlin; 3; Cabane dans un arbre; Jardinage, Bricolage; ; Piscine, Balade à cheval; Pas de transfert; Petit déjeuner; 17/3/2024; 27/3/2024; -99; 16; 2; 5462
Moscou; 4; Tente; Babysitting; ; Wifi, Parking, Blanchissage; Transfert possible; Demi-pension; 20/12/2022; 21/12/2022; -99; 23; 1; 5463
Seville; 2; Tente; Babysitting, Donner des cours d anglais; Non fumeur, Pas d animaux; Balade à cheval, Parking, Blanchissage; Pas de transfert; Petit déjeuner; 27/9/2024; 28/9/2024; -99; 27; 2; 5464
Avignon; 2; Chambre; Jardinage, Promener les chiens; Pas d animaux, Non fumeur; Wifi, Piscine; Transfert possible; Petit déjeuner; 21/3/2023; 22/3/2023; -99; 26; 3; 5465
Berlin; 4; Cabane dans un arbre; Promener les chiens; Pas d animaux; Blanchissage; Transfert possible; Petit déjeuner; 28/8/2022; 29/8/2022; -99; 33; 3; 5466
Seville; 6; Tente; Bricolage; ; Piscine; Transfert possible; Pension complète; 21/11/2022; 22/11/2022; -99; 11; 1; 5467
Toulouse; 4; Tente; Donner des cours d anglais; Pas d animaux, Non fumeur; Piscine, Balade à cheval, Wifi; Pas de transfert; Pension complète; 21/8/2023; 22/8/2023; -99; 54; 3; 5468
Seville; 4; Chambre; Babysitting, Bricolage; Non fumeur; Wifi, Blanchissage; Pas de transfert; Demi-pension; 25/12/2023; 26/12/2023; -99; 28; 1; 5469
Paris; 3; Tente; Promener les chiens; Pas d animaux, Non fumeur; Wifi, Piscine; Pas de transfert; Petit déjeuner; 4/1/2024; 26/1/2024; -99; 64; 2; 5470
Marseille; 4; Cabane dans un arbre; Bricolage, Promener les chiens; Non fumeur; Blanchissage; Pas de transfert; Pension complète; 9/4/2024; 11/4/2024; -99; 100; 2; 5471
Draguignan; 4; Chambre; Promener les chiens; Pas d animaux, Non fumeur; Wifi, Parking, Blanchissage; Pas de transfert; Demi-pension; 31/1/2023; 32/1/2023; -99; 71; 3; 5472
Avignon; 5; Tente; Babysitting; Non fumeur; Blanchissage, Wifi; Transfert possible; Pension complète; 9/1/2024; 15/1/2024; -99; 41; 2; 5473
Moscou; 5; Tente; Babysitting, Donner des cours d anglais; ; Balade à cheval, Wifi, Parking; Pas de transfert; Pension complète; 19/10/2024; 20/10/2024; -99; 42; 3; 5474
Seville; 3; Tente; Donner des cours d anglais, Jardinage; ; Parking; Pas de transfert; Demi-pension; 18/4/2022; 19/4/2022; -99; 4; 2; 5475
Chartres; 6; Tente; Promener les chiens; ; Balade à cheval; Pas de transfert; Pension complète; 23/5/2022; 24/5/2022; -99; 87; 3; 5476
Paris; 6; Tente; Bricolage, Babysitting; Non fumeur; Balade à cheval, Piscine; Pas de transfert; Pension complète; 25/11/2023; 26/11/2023; -99; 58; 2; 5477
Seville; 5; Tente; Donner des cours d anglais; Non fumeur, Pas d animaux; Piscine, Blanchissage; Transfert possible; Demi-pension; 3/5/2024; 15/5/2024; -99; 69; 3; 5478
Chartres; 5; Cabane dans un arbre; Promener les chiens; ; Blanchissage, Piscine, Wifi; Transfert possible; Pension complète; 12/6/2024; 13/6/2024; -99; 47; 3; 5479
Toulouse; 3; Tente; Bricolage, Promener les chiens; Non fumeur; Parking, Piscine, Blanchissage; Transfert possible; Demi-pension; 17/6/2024; 18/6/2024; -99; 21; 2; 5480
Toulouse; 3; Tente; Jardinage, Donner des cours d anglais; Pas d animaux; Parking, Balade à cheval, Blanchissage; Transfert possible; Pension complète; 19/6/2022; 22/6/2022; -99; 3; 3; 5481
Paris; 2; Cabane dans un arbre; Babysitting, Bricolage; ; Piscine, Balade à cheval; Pas de transfert; Demi-pension; 6/6/2024; 10/6/2024; -99; 18; 1; 5482
Paris; 5; Chambre; Babysitting; Pas d animaux; Blanchissage, Piscine, Wifi; Transfert possible; Pension complète; 4/9/2022; 17/9/2022; -99; 85; 1; 5483
Moscou; 2; Chambre; Babysitting; Non fumeur; Blanchissage, Parking; Pas de transfert; Petit déjeuner; 21/5/2022; 26/5/2022; -99; 59; 3; 5484
Toulouse; 4; Tente; Donner des cours d anglais; Non fumeur, Pas d animaux; Balade à cheval, Parking, Blanchissage; Pas de transfert; Demi-pension; 2/8/2022; 6/8/2022; -99; 14; 3; 5485
Avignon; 2; Cabane dans un arbre; Babysitting, Promener les chiens; Pas d animaux, Non fumeur; Blanchissage; Transfert possible; Petit déjeuner; 13/2/2024; 19/2/2024; -99; 70; 2; 5486
Strasbourg; 5; Tente; Bricolage; Pas d animaux; Blanchissage; Transfert possible; Demi-pension; 16/2/2023; 17/2/2023; -99; 33; 2; 5487
Moscou; 3; Tente; Donner des cours d anglais; ; Wifi, Piscine, Balade à cheval; Transfert possible; Petit déjeuner; 26/4/2023; 27/4/2023; -99; 5; 2; 5488
Paris; 2; Tente; Jardinage; Non fumeur; Wifi, Parking; Pas de transfert; Pension complète; 14/9/2024; 17/9/2024; -99; 8; 3; 5489
Seville; 3; Cabane dans un arbre; Bricolage, Donner des cours d anglais; Non fumeur; Balade à cheval; Transfert possible; Pension complète; 3/11/2022; 27/11/2022; -99; 12; 1; 5490
Draguignan; 3; Chambre; Babysitting; Pas d animaux, Non fumeur; Balade à cheval; Pas de transfert; Demi-pension; 30/7/2024; 31/7/2024; -99; 76; 3; 5491
Berlin; 4; Cabane dans un arbre; Bricolage; Non fumeur, Pas d animaux; Piscine; Pas de transfert; Pension complète; 18/11/2022; 22/11/2022; -99; 97; 2; 5492
Avignon; 5; Cabane dans un arbre; Bricolage; ; Balade à cheval; Transfert possible; Demi-pension; 1/7/2023; 28/7/2023; -99; 28; 2; 5493
Chartres; 4; Chambre; Promener les chiens; Pas d animaux, Non fumeur; Wifi; Transfert possible; Demi-pension; 2/3/2023; 17/3/2023; -99; 26; 2; 5494
Toulouse; 3; Tente; Babysitting; ; Balade à cheval, Parking, Blanchissage; Transfert possible; Petit déjeuner; 19/4/2022; 20/4/2022; -99; 62; 1; 5495
Paris; 4; Cabane dans un arbre; Bricolage; Non fumeur; Parking; Transfert possible; Pension complète; 1/9/2024; 2/9/2024; -99; 32; 3; 5496
Berlin; 3; Chambre; Babysitting, Promener les chiens; Non fumeur, Pas d animaux; Piscine; Transfert possible; Demi-pension; 6/5/2022; 21/5/2022; -99; 93; 3; 5497
Draguignan; 2; Tente; Donner des cours d anglais; Pas d animaux, Non fumeur; Balade à cheval, Wifi; Transfert possible; Pension complète; 8/5/2024; 23/5/2024; -99; 83; 3; 5498
Draguignan; 3; Tente; Babysitting; Non fumeur; Balade à cheval, Wifi; Pas de transfert; Demi-pension; 12/12/2023; 27/12/2023; -99; 87; 2; 5499
Draguignan; 4; Tente; Donner des cours d anglais, Jardinage; Pas d animaux, Non fumeur; Parking, Wifi, Piscine; Transfert possible; Petit déjeuner; 13/4/2022; 22/4/2022; -99; 33; 2; 5500
Paris; 6; Tente; Donner des cours d anglais, Jardinage; Non fumeur, Pas d animaux; Balade à cheval; Pas de transfert; Pension complète; 28/6/2022; 29/6/2022; -99; 79; 2; 5501
Strasbourg; 5; Cabane dans un arbre; Jardinage; Non fumeur; Piscine; Transfert possible; Petit déjeuner; 19/8/2022; 20/8/2022; -99; 30; 2; 5502
Moscou; 5; Chambre; Jardinage; Pas d animaux; Wifi, Balade à cheval; Pas de transfert; Demi-pension; 24/1/2024; 25/1/2024; -99; 88; 2; 5503
Seville; 5; Tente; Bricolage; ; Blanchissage; Pas de transfert; Petit déjeuner; 3/9/2022; 7/9/2022; -99; 11; 1; 5504
Chartres; 3; Cabane dans un arbre; Promener les chiens, Bricolage; ; Wifi; Pas de transfert; Pension complète; 2/8/2024; 3/8/2024; -99; 12; 2; 5505
Strasbourg; 5; Chambre; Babysitting, Jardinage; Pas d animaux, Non fumeur; Parking; Transfert possible; Pension complète; 30/3/2024; 31/3/2024; -99; 68; 2; 5506
Strasbourg; 2; Cabane dans un arbre; Bricolage; Pas d animaux; Piscine, Parking; Transfert possible; Demi-pension; 19/7/2023; 20/7/2023; -99; 5; 2; 5507
Toulouse; 2; Tente; Promener les chiens, Babysitting; ; Balade à cheval, Parking, Wifi; Transfert possible; Petit déjeuner; 16/8/2023; 17/8/2023; -99; 1; 2; 5508
Berlin; 2; Cabane dans un arbre; Donner des cours d anglais; ; Blanchissage; Transfert possible; Pension complète; 4/9/2022; 16/9/2022; -99; 67; 3; 5509
Strasbourg; 5; Cabane dans un arbre; Donner des cours d anglais; Non fumeur, Pas d animaux; Balade à cheval, Wifi; Pas de transfert; Pension complète; 30/9/2022; 31/10/2022; -99; 41; 3; 5510
Berlin; 4; Cabane dans un arbre; Babysitting; ; Balade à cheval, Parking, Wifi; Transfert possible; Pension complète; 13/2/2023; 14/2/2023; -99; 67; 1; 5511
Moscou; 6; Chambre; Babysitting; Non fumeur, Pas d animaux; Blanchissage, Balade à cheval; Transfert possible; Pension complète; 21/1/2024; 22/1/2024; -99; 36; 1; 5512
Berlin; 4; Cabane dans un arbre; Promener les chiens; Non fumeur, Pas d animaux; Blanchissage; Pas de transfert; Demi-pension; 27/5/2022; 28/5/2022; -99; 86; 1; 5513
Marseille; 5; Cabane dans un arbre; Promener les chiens, Bricolage; ; Parking; Transfert possible; Pension complète; 4/7/2022; 31/7/2022; -99; 74; 2; 5514
Draguignan; 5; Cabane dans un arbre; Jardinage; Pas d animaux, Non fumeur; Parking; Transfert possible; Demi-pension; 31/12/2023; 32/12/2023; -99; 55; 1; 5515
Berlin; 3; Chambre; Jardinage, Donner des cours d anglais; ; Balade à cheval, Parking, Piscine; Pas de transfert; Demi-pension; 3/6/2024; 21/6/2024; -99; 32; 1; 5516
Draguignan; 5; Cabane dans un arbre; Babysitting, Jardinage; Non fumeur, Pas d animaux; Parking; Pas de transfert; Pension complète; 28/6/2022; 29/6/2022; -99; 98; 1; 5517
Berlin; 4; Chambre; Promener les chiens, Babysitting; Pas d animaux, Non fumeur; Blanchissage, Parking; Transfert possible; Petit déjeuner; 16/1/2024; 21/1/2024; -99; 52; 1; 5518
Draguignan; 2; Cabane dans un arbre; Donner des cours d anglais; Pas d animaux, Non fumeur; Parking; Transfert possible; Petit déjeuner; 26/5/2022; 27/5/2022; -99; 89; 3; 5519
Berlin; 4; Cabane dans un arbre; Jardinage, Donner des cours d anglais; Pas d animaux; Piscine, Balade à cheval; Transfert possible; Pension complète; 1/12/2022; 5/12/2022; -99; 62; 3; 5520
Seville; 4; Cabane dans un arbre; Donner des cours d anglais; ; Blanchissage, Parking; Pas de transfert; Petit déjeuner; 6/12/2024; 18/12/2024; -99; 44; 3; 5521
Berlin; 3; Tente; Bricolage; Non fumeur, Pas d animaux; Blanchissage, Balade à cheval, Parking; Transfert possible; Petit déjeuner; 30/11/2023; 31/12/2023; -99; 60; 2; 5522
Moscou; 5; Tente; Bricolage, Jardinage; Non fumeur; Blanchissage, Piscine; Pas de transfert; Pension complète; 26/10/2024; 27/10/2024; -99; 83; 2; 5523
Avignon; 6; Cabane dans un arbre; Jardinage, Promener les chiens; ; Blanchissage; Transfert possible; Pension complète; 29/9/2022; 30/9/2022; -99; 79; 2; 5524
